編號,學名,中文名,中文別名,英文名,英文別名,科,習性
6,Adina pilulifera,水團花,水楊梅,Chinese Buttonbush,Pilular Adina,RUBIACEAE茜草科,常綠灌木至小喬木
14,Alangium chinense,八角楓,水芒樹,Chinese-Alangium,NoInfo,ALANGIACEAE八角楓科,喬木_灌木
44,Bauhinia x blakeana Dunn,洋紫荊,沒資料,HongKong-Orchid-Tree,NoInfo,CAESALPINIACEAE蘇木科,喬木
83,Cerbera manghas,海芒果,海果,Cerbera-Sea-Mango,NoInfo,APOCYNACEAE夾竹桃科,喬木
94,Cleistocalyx nervosum,水翁,沒資料,Lidded Cleistocalyx,Water Banyan,MYRTACEAE桃金娘科,喬木
98,Cratoxylum cochinchinense,黃牛木,沒資料,Yellow-Cow-Wood,NoInfo,CLUSIACEAE山竹子科,喬木
177,Polyspora axillaris,大頭茶,沒資料,Hong Kong Gordonia,Gordonia,THEACEAE山茶科,喬木
187,Hibiscus tiliaceus,黃槿,沒資料,Cuban-Bast,Sea-Hibiscus,MALVACEAE錦葵科,喬木_灌木
240,Litsea cubeba,木薑子_山蒼樹,沒資料,Fragrant-Litsea,Mountain-pepper,LAURACEAE樟科,落葉喬木_灌木
280,Microcos nervosa,布渣葉,破布葉,Microcos,NoInfo,TILIACEAE椴樹科,喬木_灌木
342,Schefflera heptaphylla,鴨腳木,鵝掌柴,Ivy Tree,NoInfo,ARALIACEAE五加科,喬木
350,Sterculia lanceolata,假蘋婆,七姐果,Lance-leaved-Sterculia,Scarlet-Sterculia,STERCULIACEAE梧桐科,喬木
427,Spathodea campanulata,火焰樹,火焰木,African Tulip Tree,NoInfo,BIGNONIACEAE紫葳科,喬木
454,Magnolia grandiflora,荷花玉蘭,洋玉蘭,Bull-Bay,Southern-Magnolia,MAGNOLIACEAE木蘭科,喬木
459,Aleurites moluccana,石栗,沒資料,Candlenut-Tree,Common-Aleurites,EUPHORBIACEAE大戟科,喬木
465,Hibiscus mutabilis,木芙蓉,醉酒芙蓉,Changeable-Rose-mallow,NoInfo,MALVACEAE錦葵科,喬木_灌木
487,Lagerstroemia indica,紫薇,銀薇(中國植物誌名稱),Common Crape Myrtle,Crape Myrtle,LYTHRACEAE千屈菜科,喬木_灌木
509,Delonix regia,鳳凰木,金鳳,Flame-Tree,Flame-of-the-Forest,CAESALPINIACEAE蘇木科,落葉喬木
516,Plumeria rubra var. sp.(TBC),雞蛋花(黃色),沒資料,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,落葉小喬木
524,Elaeocarpus hainanensis,水石榕,沒資料,Hainan Elaeocarpus,NoInfo,ELAEOCARPACEAE杜英科,喬木
538,Erythrina speciosa,象牙花,沒資料,Ivory-Coral-Tree,NoInfo,FABACEAE蝶形花科,落葉喬木
594,Murraya paniculata,九里香,月橘,Orange-jessamine,Orange-Jasmine,RUTACEAE芸香科,喬木
603,Prunus persica,桃,桃花,Peach,Flowering-Peach,ROSACEAE薔薇科,喬木
618,Lagerstroemia speciosa,大花紫薇,洋紫薇,Queen-Crape-Myrtle,NoInfo,LYTHRACEAE千屈菜科,落葉喬木
634,Yulania x soulangeana,二喬木蘭,沒資料,Saucer Magnolia,Purple Magnolia,MAGNOLIACEAE木蘭科,落葉小喬木
636,Grevillea banksii,紅花銀樺,昆士蘭銀樺,Scarlet Grevillea,Bank-s-Grevillea,PROTEACEAE山龍眼科,喬木_灌木
656,Senna surattensis,黃槐決明,黃槐,Sunshine-Tree,NoInfo,CAESALPINIACEAE蘇木科,喬木_灌木
663,Callistemon viminalis,串錢柳,沒資料,Tall-Bottle-brush,NoInfo,MYRTACEAE桃金娘科,喬木
671,Bombax ceiba,木棉,沒資料,Tree Cotton,Red-Kapok-Tree,BOMBACACEAE木棉科,落葉喬木
695,Peltophorum pterocarpum,雙翼豆_盾柱木,沒資料,Yellow-Poinciana,NoInfo,CAESALPINIACEAE蘇木科,喬木
696,Tabebuia chrysantha,黃鐘木_風鈴木,黃花風鈴木,Yellow-Pui,NoInfo,BIGNONIACEAE紫葳科,落葉小喬木
701,Odontonema strictum,紅樓花,沒資料,NoInfo,NoInfo,ACANTHACEAE爵床科,灌木
703,Thunbergia erecta,硬枝老鴉嘴,沒資料,Bush Thunbergia,NoInfo,ACANTHACEAE爵床科,灌木
707,Pachystachys lutea,黃鴨咀花,金苞花,Lollypops,Lollypes,ACANTHACEAE爵床科,灌木
